"sponsor_name","phase","trial_count","rank_within_phase"
Tianjin Medical University General Hospital,EARLY_PHASE1,2,1
Case Comprehensive Cancer Center,EARLY_PHASE1,2,1
University of Michigan Rogel Cancer Center,EARLY_PHASE1,2,1
Roswell Park Cancer Institute,EARLY_PHASE1,2,1
Massachusetts General Hospital,NA,7,1
National Cancer Institute (NCI),PHASE1,26,1
National Cancer Institute (NCI),PHASE1/PHASE2,11,1
National Cancer Institute (NCI),PHASE2,44,1
AbbVie,PHASE2/PHASE3,3,1
Shanghai Chest Hospital,PHASE2/PHASE3,3,1
Hoffmann-La Roche,PHASE3,34,1
Hoffmann-La Roche,PHASE4,7,1
AstraZeneca,,26,1
